Month/Year,CO2 Emission
Jan/1973,106.363
Feb/1973,101.76
Mar/1973,110.553
Apr/1973,104.734
May/1973,114.897
Jun/1973,109.24
Jul/1973,112.139
Aug/1973,116.683
Sep/1973,106.558
Oct/1973,111.655
Nov/1973,112.111
Dec/1973,108.505
Jan/1974,101.702
Feb/1974,94.699
Mar/1974,104.722
Apr/1974,103.963
May/1974,110.262
Jun/1974,108.271
Jul/1974,111.896
Aug/1974,113.59
Sep/1974,103.154
Oct/1974,111.238
Nov/1974,106.852
Dec/1974,110.752
Jan/1975,109.278
Feb/1975,96.311
Mar/1975,107.668
Apr/1975,106.921
May/1975,109.491
Jun/1975,108.366
Jul/1975,110.528
Aug/1975,110.382
Sep/1975,105.805
Oct/1975,111.233
Nov/1975,102.308
Dec/1975,113.272
Jan/1976,108.551
Feb/1976,100.674
Mar/1976,113.871
Apr/1976,112.309
May/1976,111.165
Jun/1976,114.374
Jul/1976,117.051
Aug/1976,114.179
Sep/1976,112.267
Oct/1976,113.608
Nov/1976,113.584
Dec/1976,122.117
Jan/1977,112.072
Feb/1977,108.661
Mar/1977,117.714
Apr/1977,116.508
May/1977,114.986
Jun/1977,119.16
Jul/1977,118.405
Aug/1977,121.821
Sep/1977,117.014
Oct/1977,118.562
Nov/1977,117.087
Dec/1977,124.403
Jan/1978,117.015
Feb/1978,112.042
Mar/1978,125.332
Apr/1978,118.81
May/1978,126.992
Jun/1978,123.855
Jul/1978,122.475
Aug/1978,127.988
Sep/1978,117.731
Oct/1978,123.353
Nov/1978,122.424
Dec/1978,125.518
Jan/1979,123.167
Feb/1979,118.58
Mar/1979,130.63
Apr/1979,117.36
May/1979,123.727
Jun/1979,119.237
Jul/1979,118.053
Aug/1979,124.07
Sep/1979,116.094
Oct/1979,123.559
Nov/1979,116.883
Dec/1979,122.79
Jan/1980,119.451
Feb/1980,115.62
Mar/1980,120.083
Apr/1980,119.44
May/1980,117.929
Jun/1980,113.236
Jul/1980,117.026
Aug/1980,113.828
Sep/1980,113.574
Oct/1980,119.433
Nov/1980,109.646
Dec/1980,120.805
Jan/1981,121.17
Feb/1981,107.199
Mar/1981,116.473
Apr/1981,113.178
May/1981,115.107
Jun/1981,117.348
Jul/1981,118.903
Aug/1981,116.315
Sep/1981,113.487
Oct/1981,114.718
Nov/1981,110.621
Dec/1981,120.853
Jan/1982,111.095
Feb/1982,105.832
Mar/1982,115.756
Apr/1982,117.166
May/1982,114.467
Jun/1982,113.819
Jul/1982,114.521
Aug/1982,113.123
Sep/1982,109.834
Oct/1982,111.197
Nov/1982,112.45
Dec/1982,114.75
Jan/1983,107.056
Feb/1983,97.342
Mar/1983,118.863
Apr/1983,109.281
May/1983,114.806
Jun/1983,116.412
Jul/1983,115.006
Aug/1983,118.12
Sep/1983,113.911
Oct/1983,114.793
Nov/1983,112.349
Dec/1983,121.428
Jan/1984,114.815
Feb/1984,104.542
Mar/1984,116.514
Apr/1984,115.042
May/1984,120.139
Jun/1984,117.845
Jul/1984,118.902
Aug/1984,122.061
Sep/1984,112.518
Oct/1984,117.92
Nov/1984,114.588
Dec/1984,115.044
Jan/1985,116.437
Feb/1985,106.276
Mar/1985,118.768
Apr/1985,119.343
May/1985,122.776
Jun/1985,117.505
Jul/1985,121.754
Aug/1985,125.358
Sep/1985,112.937
Oct/1985,121.421
Nov/1985,116.266
Dec/1985,122.394
Jan/1986,117.285
Feb/1986,106.743
Mar/1986,123.482
Apr/1986,122.079
May/1986,125.322
Jun/1986,122.832
Jul/1986,128.998
Aug/1986,129.593
Sep/1986,118.161
Oct/1986,126.851
Nov/1986,119.988
Dec/1986,130.724
Jan/1987,121.635
Feb/1987,114.373
Mar/1987,125.246
Apr/1987,126.185
May/1987,129.344
Jun/1987,128.083
Jul/1987,133.173
Aug/1987,129.565
Sep/1987,125.854
Oct/1987,131.551
Nov/1987,122.368
Dec/1987,131.619
Jan/1988,128.296
Feb/1988,125.31
Mar/1988,136.189
Apr/1988,130.537
May/1988,130.398
Jun/1988,133.33
Jul/1988,131.656
Aug/1988,134.048
Sep/1988,128.995
Oct/1988,133.828
Nov/1988,129.664
Dec/1988,136.71
Jan/1989,128.918
Feb/1989,120.626
Mar/1989,136.676
Apr/1989,128.047
May/1989,133.387
Jun/1989,135.315
Jul/1989,132.658
Aug/1989,138.339
Sep/1989,127.045
Oct/1989,137.42
Nov/1989,131.177
Dec/1989,141.623
Jan/1990,132.13
Feb/1990,124.112
Mar/1990,136.18
Apr/1990,128.734
May/1990,136.301
Jun/1990,131.493
Jul/1990,134.462
Aug/1990,142.692
Sep/1990,124.65
Oct/1990,134.329
Nov/1990,130.118
Dec/1990,132.452
Jan/1991,128.475
Feb/1991,117.438
Mar/1991,132.303
Apr/1991,126.796
May/1991,131.096
Jun/1991,131.906
Jul/1991,135.301
Aug/1991,137.306
Sep/1991,127.507
Oct/1991,135.621
Nov/1991,127.697
Dec/1991,136.5
Jan/1992,130.575
Feb/1992,124.527
Mar/1992,133.244
Apr/1992,130.474
May/1992,134.711
Jun/1992,130.524
Jul/1992,136.463
Aug/1992,135.964
Sep/1992,128.072
Oct/1992,137.062
Nov/1992,128.529
Dec/1992,141.489
Jan/1993,126.057
Feb/1993,121.775
Mar/1993,136.49
Apr/1993,132.605
May/1993,137.131
Jun/1993,132.95
Jul/1993,137.27
Aug/1993,137.629
Sep/1993,133.998
Oct/1993,137.167
Nov/1993,135.548
Dec/1993,142.56
Jan/1994,131.53
Feb/1994,126.598
Mar/1994,137.517
Apr/1994,136.051
May/1994,139.108
Jun/1994,137.44
Jul/1994,139.608
Aug/1994,146.291
Sep/1994,134.497
Oct/1994,139.791
Nov/1994,134.281
Dec/1994,144.748
Jan/1995,136.024
Feb/1995,126.667
Mar/1995,143.425
Apr/1995,135.654
May/1995,142.402
Jun/1995,144.016
Jul/1995,139.946
Aug/1995,145.59
Sep/1995,139.9
Oct/1995,143.573
Nov/1995,139.771
Dec/1995,144.017
Jan/1996,139.743
Feb/1996,133.989
Mar/1996,144.146
Apr/1996,141.487
May/1996,148.116
Jun/1996,142.27
Jul/1996,148.11
Aug/1996,152.043
Sep/1996,137.942
Oct/1996,151.929
Nov/1996,141.13
Dec/1996,144.188
Jan/1997,140.131
Feb/1997,131.825
Mar/1997,145.337
Apr/1997,146.006
May/1997,149.482
Jun/1997,145.099
Jul/1997,153.022
Aug/1997,149.523
Sep/1997,141.952
Oct/1997,149.469
Nov/1997,142.892
Dec/1997,149.368
Jan/1998,144.658
Feb/1998,131.742
Mar/1998,147.41
Apr/1998,151.445
May/1998,148.087
Jun/1998,147.916
Jul/1998,156.498
Aug/1998,153.655
Sep/1998,146.782
Oct/1998,153.585
Nov/1998,145.581
Dec/1998,154.343
Jan/1999,144.707
Feb/1999,134.447
Mar/1999,152.607
Apr/1999,148.926
May/1999,154.708
Jun/1999,152.885
Jul/1999,157.498
Aug/1999,159.274
Sep/1999,148.566
Oct/1999,158.876
Nov/1999,149.733
Dec/1999,165.733
Jan/2000,146.201
Feb/2000,146.085
Mar/2000,155.354
Apr/2000,152.263
May/2000,158.52
Jun/2000,157.023
Jul/2000,162.879
Aug/2000,164.484
Sep/2000,153.129
Oct/2000,161.534
Nov/2000,152.833
Dec/2000,161.74
Jan/2001,150.547
Feb/2001,139.579
Mar/2001,157.025
Apr/2001,153.091
May/2001,160.005
Jun/2001,154.542
Jul/2001,164.193
Aug/2001,161.735
Sep/2001,149.5
Oct/2001,158.846
Nov/2001,150.345
Dec/2001,152.096
Jan/2002,152.348
Feb/2002,140.487
Mar/2002,158.831
Apr/2002,156.497
May/2002,162.441
Jun/2002,159.589
Jul/2002,164.205
Aug/2002,165.522
Sep/2002,152.946
Oct/2002,159.745
Nov/2002,156.984
Dec/2002,162.608
Jan/2003,151.486
Feb/2003,141.777
Mar/2003,157.913
Apr/2003,154.787
May/2003,160.096
Jun/2003,156.997
Jul/2003,163.592
Aug/2003,168.581
Sep/2003,155.153
Oct/2003,163.515
Nov/2003,156.837
Dec/2003,162.666
Jan/2004,157.164
Feb/2004,153.163
Mar/2004,164.533
Apr/2004,161.221
May/2004,165.486
Jun/2004,163.378
Jul/2004,169.78
Aug/2004,169.555
Sep/2004,160.535
Oct/2004,168.76
Nov/2004,162.127
Dec/2004,166.619
Jan/2005,161.372
Feb/2005,150.283
Mar/2005,167.523
Apr/2005,163.376
May/2005,171.07
Jun/2005,165.419
Jul/2005,172.746
Aug/2005,174.577
Sep/2005,161.38
Oct/2005,168.184
Nov/2005,163.948
Dec/2005,170.869
Jan/2006,166.278
Feb/2006,151.188
Mar/2006,170.908
Apr/2006,165.898
May/2006,171.87
Jun/2006,169.082
Jul/2006,176.748
Aug/2006,177.697
Sep/2006,164.496
Oct/2006,172.139
Nov/2006,163.188
Dec/2006,172.368
Jan/2007,166.539
Feb/2007,153.849
Mar/2007,170.15
Apr/2007,167.807
May/2007,175.933
Jun/2007,172.103
Jul/2007,178.716
Aug/2007,179.659
Sep/2007,166.603
Oct/2007,172.3
Nov/2007,166.54
Dec/2007,169.311
Jan/2008,160.708
Feb/2008,149.153
Mar/2008,164.511
Apr/2008,162.429
May/2008,168.608
Jun/2008,160.98
Jul/2008,166.711
Aug/2008,165.544
Sep/2008,149.45
Oct/2008,163.373
Nov/2008,153.346
Dec/2008,158.827
Jan/2009,154.714
Feb/2009,139.937
Mar/2009,158.401
Apr/2009,155.674
May/2009,156.92
Jun/2009,157.241
Jul/2009,160.418
Aug/2009,162.311
Sep/2009,150.389
Oct/2009,158.031
Nov/2009,150.458
Dec/2009,158.361
Jan/2010,150.904
Feb/2010,137.772
Mar/2010,158.173
Apr/2010,157.455
May/2010,161.833
Jun/2010,159.503
Jul/2010,165.279
Aug/2010,165.181
Sep/2010,158.126
Oct/2010,160.183
Nov/2010,152.968
Dec/2010,158.596
Jan/2011,151.851
Feb/2011,139.488
Mar/2011,157.837
Apr/2011,153.554
May/2011,158.642
Jun/2011,158.828
Jul/2011,160.186
Aug/2011,161.575
Sep/2011,153.192
Oct/2011,155.55
Nov/2011,149.536
Dec/2011,154.531
Jan/2012,145.566
Feb/2012,142.098
Mar/2012,152.38
Apr/2012,150.602
May/2012,157.033
Jun/2012,155.372
Jul/2012,157.855
Aug/2012,160.749
Sep/2012,147.241
Oct/2012,153.265
Nov/2012,147.265
Dec/2012,146.39
Jan/2013,146.517
Feb/2013,134.243
Mar/2013,153.078
Apr/2013,149.442
May/2013,156.356
Jun/2013,152.814